Zipcode,Dispensary Count,Patient Count,Latitude,Longitude,Nearest Disp Distance,Nearest Disp Zipcode,Pop,Patient Density,Patient Miles,Population Miles
17050,1,2088,40.24,-77.02,0,17050,,#DIV/0!,0,0
17055,1,2578,40.21,-77,0,17055,,#DIV/0!,0,0
17104,1,890,40.25,-76.86,0,17104,,#DIV/0!,0,0
17109,1,1522,40.29,-76.82,0,17109,,#DIV/0!,0,0
17110,1,1857,40.32,-76.89,0,17110,,#DIV/0!,0,0
17112,1,2600,40.37,-76.78,0,17112,,#DIV/0!,0,0
17113,1,1038,40.23,-76.83,0,17113,,#DIV/0!,0,0
17201,2,1823,39.93,-77.65,0,17201,,#DIV/0!,0,0
17325,1,1843,39.83,-77.23,0,17325,,#DIV/0!,0,0
17331,1,3676,39.81,-76.98,0,17331,,#DIV/0!,0,0
17402,2,2202,39.96,-76.66,0,17402,,#DIV/0!,0,0
17404,1,2345,40,-76.77,0,17404,,#DIV/0!,0,0
17408,1,1284,39.95,-76.81,0,17408,,#DIV/0!,0,0
17520,1,416,40.1,-76.35,0,17520,,#DIV/0!,0,0
17601,2,3043,40.07,-76.31,0,17601,,#DIV/0!,0,0
17602,3,3033,40.04,-76.3,0,17602,,#DIV/0!,0,0
17604,0,13,40.04,-76.3,0,17602,,#DIV/0!,0,0
17605,0,2,40.04,-76.3,0,17602,,#DIV/0!,0,0
17608,0,18,40.04,-76.3,0,17602,,#DIV/0!,0,0
17701,2,2946,41.23,-77.03,0,17701,,#DIV/0!,0,0
17703,0,9,41.23,-77.03,0,17701,,#DIV/0!,0,0
17815,1,1688,41,-76.45,0,17815,,#DIV/0!,0,0
17870,1,800,40.8,-76.86,0,17870,,#DIV/0!,0,0
17872,1,688,40.78,-76.55,0,17872,,#DIV/0!,0,0
17901,1,1537,40.67,-76.2,0,17901,,#DIV/0!,0,0
18015,1,1709,40.59,-75.37,0,18015,,#DIV/0!,0,0
18017,1,2077,40.66,-75.39,0,18017,,#DIV/0!,0,0
18020,1,1005,40.67,-75.32,0,18020,,#DIV/0!,0,0
18045,1,1522,40.69,-75.27,0,18045,,#DIV/0!,0,0
18051,1,209,40.59,-75.66,0,18051,,#DIV/0!,0,0
18052,1,1434,40.63,-75.48,0,18052,,#DIV/0!,0,0
18103,2,2270,40.59,-75.47,0,18103,,#DIV/0!,0,0
18104,1,2532,40.61,-75.55,0,18104,,#DIV/0!,0,0
18109,1,790,40.64,-75.44,0,18109,,#DIV/0!,0,0
18201,1,851,40.95,-75.97,0,18201,,#DIV/0!,0,0
18202,1,537,40.96,-76,0,18202,,#DIV/0!,0,0
18360,2,1346,40.98,-75.19,0,18360,,#DIV/0!,0,0
18502,0,7,41.4,-75.66,0,18505,,#DIV/0!,0,0
18504,1,1469,41.43,-75.7,0,18504,,#DIV/0!,0,0
18505,2,1195,41.4,-75.66,0,18505,,#DIV/0!,0,0
18508,1,838,41.45,-75.66,0,18508,,#DIV/0!,0,0
18519,2,458,41.47,-75.62,0,18519,,#DIV/0!,0,0
