Zipcode,Dispensary Count,Patient Count,Latitude,Longitude
15561,0,2,40.09,-79.09
15563,0,115,40.1,-78.95
15565,0,2,39.76,-79.12
15601,3,3516,40.31,-79.54
15610,0,158,40.15,-79.42
15611,0,28,40.31,-79.65
15612,0,18,40.14,-79.6
15613,0,660,40.58,-79.56
15615,0,12,40.36,-79.73
15616,0,5,40.23,-79.56
15617,0,23,40.27,-79.66
15618,0,125,40.52,-79.47
15619,0,31,40.32,-79.5
15620,0,64,40.32,-79.34
15622,0,52,40.04,-79.32
15623,0,48,40.37,-79.62
15624,0,15,40.36,-79.47
15625,0,10,40.27,-79.68
15626,0,306,40.41,-79.57
15627,0,401,40.33,-79.3
15628,0,24,40.11,-79.38
15629,0,50,40.6,-79.56
15631,0,31,40.09,-79.58
15632,0,472,40.41,-79.62
15633,0,12,40.36,-79.52
15634,0,53,40.33,-79.61
15635,0,35,40.35,-79.5
15636,0,144,40.37,-79.66
15637,0,128,40.26,-79.71
15638,0,17,40.26,-79.4
15639,0,95,40.2,-79.61
15640,0,17,40.22,-79.73
15641,0,39,40.63,-79.59
15642,1,2459,40.32,-79.69
15644,0,1088,40.33,-79.62
15646,0,7,40.1,-79.34
15647,0,22,40.34,-79.72
15650,1,1646,40.31,-79.38
15655,0,34,40.19,-79.16
15656,0,593,40.63,-79.6
15658,0,403,40.24,-79.23
15660,0,13,40.25,-79.77
15661,0,33,40.32,-79.36
15662,0,15,40.33,-79.48
15663,0,20,40.24,-79.67
15665,0,79,40.34,-79.66
15666,0,677,40.15,-79.54
15668,0,601,40.46,-79.67
15670,0,177,40.39,-79.41
15671,0,38,40.36,-79.32
15672,0,160,40.22,-79.6
15673,0,72,40.59,-79.56
15674,0,16,40.21,-79.5
15675,0,86,40.34,-79.64
15676,0,28,40.24,-79.47
15677,0,25,40.14,-79.24
15678,0,40,40.29,-79.73
15679,0,144,40.15,-79.63
15680,0,10,40.52,-79.5
15681,0,289,40.48,-79.44
15682,0,3,40.68,-79.64
15683,0,342,40.1,-79.58
15684,0,54,40.46,-79.5
15685,0,11,40.18,-79.49
15686,0,29,40.62,-79.44
15687,0,45,40.13,-79.29
15688,0,32,40.17,-79.58
15689,0,5,40.23,-79.49
15690,0,587,40.59,-79.57
15691,0,3,40.3,-79.68
15692,0,76,40.33,-79.68
15693,0,14,40.25,-79.41
15695,0,20,40.2,-79.69
15696,0,12,40.28,-79.37
15697,0,232,40.24,-79.58
15698,0,35,40.21,-79.68
15701,1,1354,40.62,-79.15
15710,0,11,40.64,-78.87
15711,0,15,41.01,-78.96
15713,0,18,40.57,-79.26
15714,0,274,40.66,-78.78
15715,0,53,40.97,-78.88
15716,0,20,40.47,-79.19
15717,0,582,40.43,-79.26
15721,0,5,40.81,-78.78
15722,0,81,40.6,-78.7
15723,0,4,40.7,-79.16
15724,0,65,40.72,-78.8
15725,0,51,40.49,-79.36
15727,0,17,40.56,-79.31
15728,0,126,40.66,-79.01
15729,0,35,40.69,-78.9
15730,0,5,41.06,-79.09
15731,0,5,40.5,-79.17
15732,0,59,40.68,-79.19
15733,0,5,40.99,-78.96
15734,0,11,40.72,-79.01
15736,0,12,40.69,-79.34
15737,0,21,40.6,-78.76
15738,0,6,40.69,-78.76
15739,0,26,40.68,-79.16
15741,0,6,40.8,-78.89
15742,0,52,40.81,-78.83
15744,0,3,40.92,-79.08
15745,0,13,40.62,-78.92
15746,0,5,40.76,-78.89
15747,0,73,40.78,-79.15
15748,0,254,40.53,-79.15
15750,0,17,40.48,-79.18
15752,0,2,40.54,-79.28
15753,0,12,40.81,-78.62
15754,0,32,40.56,-79.15
15757,0,51,40.87,-78.72
15759,0,53,40.77,-79.04
15760,0,5,40.64,-78.81
15761,0,7,40.63,-78.89
15762,0,13,40.59,-78.83
15764,0,2,40.99,-79.03
15765,0,52,40.6,-78.99
15767,0,765,40.94,-78.97
15770,0,7,41.01,-79.14
15771,0,35,40.82,-79
15772,0,63,40.86,-78.94
15773,0,27,40.63,-78.74
15774,0,107,40.65,-79.3
15776,0,2,41.01,-79.11
15777,0,2,40.7,-78.96
15778,0,10,40.97,-79.2
15779,0,20,40.39,-79.22
15780,0,7,40.91,-79.07
15781,0,9,40.96,-78.99
15783,0,2,40.6,-79.35
15784,0,11,41.02,-79.14
15801,1,1400,41.14,-78.73
15821,0,13,41.35,-78.37
15823,0,70,41.27,-78.73
15824,0,241,41.24,-78.79
15825,1,653,41.16,-79.08
15827,0,28,41.29,-78.51
15828,0,41,41.32,-79.14
15829,0,50,41.18,-79.2
15831,0,27,41.35,-78.6
15832,0,14,41.34,-78.13
15834,0,157,41.51,-78.23
15840,0,127,41.14,-78.8
15841,0,12,41.26,-78.5
15845,0,169,41.49,-78.67
15846,0,155,41.32,-78.6
15847,0,14,41.09,-79.03
15848,0,22,41.03,-78.74
15849,0,88,41.21,-78.6
15851,0,458,41.09,-78.88
15853,0,422,41.42,-78.72
15856,0,32,41.08,-78.66
15857,0,618,41.42,-78.55
15860,0,73,41.28,-79.12
15861,0,9,41.38,-78.05
15863,0,19,41.01,-78.84
15864,0,142,41.1,-79.2
15865,0,94,41.05,-78.81
15866,0,12,41.02,-78.78
15868,0,64,41.26,-78.49
15870,0,67,41.58,-78.68
15901,2,233,40.33,-78.91
15902,0,625,40.32,-78.91
15904,0,583,40.31,-78.84
15905,0,1100,40.29,-78.97
15906,0,598,40.38,-78.96
15907,0,6,40.32,-78.91
15909,0,236,40.41,-78.87
15920,0,28,40.47,-79.05
15921,0,31,40.32,-78.7
15922,0,28,40.52,-78.88
15923,0,63,40.39,-79.15
15924,0,45,40.1,-78.76
15925,0,13,40.41,-78.64
15926,0,97,40.05,-78.82
15927,0,40,40.54,-78.78
15928,0,61,40.23,-78.93
15930,0,5,40.29,-78.72
15931,0,344,40.48,-78.72
15934,0,4,40.28,-78.8
15935,0,106,40.24,-78.96
15936,0,68,40.15,-78.91
15937,0,43,40.21,-78.98
15938,0,143,40.42,-78.62
15940,0,53,40.5,-78.63
15942,0,73,40.38,-78.82
15943,0,150,40.47,-78.83
15944,0,101,40.37,-79.07
15945,0,5,40.36,-78.87
15946,0,300,40.38,-78.67
15948,0,16,40.49,-78.76
15949,0,38,40.41,-79.13
15951,0,25,40.33,-78.77
15952,0,48,40.3,-78.78
15953,0,3,40.21,-78.89
15954,0,94,40.41,-79.02
15955,0,67,40.31,-78.69
15956,0,132,40.36,-78.79
15957,0,18,40.55,-78.9
15958,0,35,40.39,-78.73
15959,0,2,40.27,-78.92
15960,0,25,40.5,-78.85
15961,0,33,40.47,-78.91
15962,0,12,40.39,-78.72
15963,0,432,40.23,-78.82
16001,1,2494,40.86,-79.89
16002,0,643,40.82,-79.86
16003,0,5,40.86,-79.89
16020,0,52,41.11,-79.9
16022,0,33,41.05,-79.73
16023,0,196,40.78,-79.75
16024,0,29,40.74,-80.04
16025,0,173,40.94,-79.74
16027,0,17,40.82,-80.02
16028,0,90,40.98,-79.61
16029,0,38,40.88,-79.85
16030,0,8,41.13,-79.79
16033,0,378,40.76,-80.05
16034,0,72,40.85,-79.75
16035,0,7,41.11,-80.01
16036,0,2,41.14,-79.68
16037,0,314,40.8,-80.12
16038,0,93,41.13,-80.01
16039,0,6,40.83,-79.79
16040,0,30,41.1,-79.83
16041,0,76,40.99,-79.72
16045,0,97,40.85,-79.92
16046,0,869,40.69,-80.01
16049,0,115,41.09,-79.68
16050,0,64,41.04,-79.76
16051,0,113,40.92,-80.14
16052,0,103,40.9,-80.04
16053,0,223,40.8,-79.98
16054,0,29,41.16,-79.65
16055,0,401,40.73,-79.73
16056,0,291,40.75,-79.81
16057,0,526,41.07,-80.06
16059,0,487,40.71,-79.93
16061,0,105,41,-79.89
16063,1,485,40.78,-80.14
16066,4,1660,40.71,-80.1
16101,2,1853,40.99,-80.34
16102,0,236,40.96,-80.42
16105,0,765,41.06,-80.34
16107,0,5,40.99,-80.34
16110,0,9,41.5,-80.37
16111,0,14,41.53,-80.27
16112,0,68,40.96,-80.5
16113,0,9,41.28,-80.42
16114,0,24,41.4,-80.18
16115,0,150,40.81,-80.42
16116,0,104,41.02,-80.46
16117,0,961,40.86,-80.28
16120,0,71,40.85,-80.45
16121,0,207,41.21,-80.5
16123,0,88,40.81,-80.2
16124,0,54,41.32,-80.25
16125,0,659,41.4,-80.38
16127,0,481,41.15,-80.08
16130,0,63,41.44,-80.22
16131,0,36,41.55,-80.38
16132,0,19,41,-80.5
16133,0,40,41.27,-80.13
16134,0,173,41.48,-80.43
16136,0,57,40.83,-80.32
16137,1,426,41.22,-80.23
16140,0,3,41.09,-80.51
16141,0,61,40.83,-80.4
16142,0,142,41.11,-80.33
16143,0,93,41.09,-80.45
16145,0,80,41.38,-80.08
16146,0,665,41.23,-80.49
16148,1,675,41.22,-80.44
16150,0,366,41.25,-80.48
16151,0,5,41.44,-80.21
16153,0,60,41.33,-80.1
16154,0,108,41.32,-80.42
16155,0,3,41.07,-80.51
16156,0,111,41.11,-80.25
16157,0,221,40.88,-80.33
16159,0,149,41.15,-80.48
16160,0,53,40.93,-80.36
16161,0,61,41.2,-80.49
16201,0,860,40.82,-79.52
16210,0,55,40.9,-79.5
16211,0,2,40.79,-79.2
16212,0,30,40.75,-79.58
16213,0,5,41.13,-79.56
16214,0,463,41.21,-79.38
16217,0,12,41.33,-79.17
16218,0,31,40.93,-79.59
16220,0,6,41.42,-79.27
16221,0,2,41.1,-79.43
16222,0,75,40.88,-79.24
16223,0,3,40.99,-79.35
16224,0,32,41.05,-79.29
16225,0,4,41.26,-79.25
16226,0,414,40.76,-79.53
16228,0,16,40.76,-79.54
16229,0,242,40.68,-79.68
16230,0,18,41.02,-79.27
16232,0,194,41.23,-79.53
16233,0,39,41.36,-79.29
16234,0,6,41.13,-79.28
16235,0,44,41.31,-79.38
16236,0,22,40.78,-79.52
16238,0,28,40.79,-79.52
16239,0,45,41.45,-79.08
16240,0,93,41.02,-79.22
16242,0,166,41,-79.32
16244,0,9,40.8,-79.28
16245,0,4,41.01,-79.3
16246,0,2,40.79,-79.18
16248,0,132,41.04,-79.5
16249,0,69,40.79,-79.31
16250,0,8,40.78,-79.23
16254,0,131,41.25,-79.46
16255,0,100,41.1,-79.49
16256,0,12,40.87,-79.17
16258,0,109,41.2,-79.32
16259,0,72,40.94,-79.45
16260,0,5,41.4,-79.23
16262,0,120,40.83,-79.63
16263,0,14,40.81,-79.33
16301,0,793,41.42,-79.7
16311,0,3,41.47,-80.03
16313,0,87,41.78,-79.09
16314,0,233,41.51,-80.04
16316,0,267,41.6,-80.3
16317,0,46,41.53,-79.85
16319,0,40,41.32,-79.62
16321,0,3,41.57,-79.4
16323,0,776,41.39,-79.83
16326,0,17,41.38,-79.43
16327,0,102,41.63,-79.95
16328,0,5,41.65,-79.73
16329,0,20,41.85,-79.26
16331,0,2,41.29,-79.56
16332,0,19,41.37,-79.37
16333,0,25,41.75,-78.93
16334,0,16,41.29,-79.45
16335,1,1603,41.64,-80.14
16340,0,48,41.81,-79.43
16341,0,53,41.59,-79.57
16342,0,69,41.36,-79.93
16343,0,30,41.42,-79.74
16344,0,17,41.47,-79.68
16345,0,63,41.94,-79.08
16346,0,111,41.37,-79.7
16347,0,50,41.69,-79.02
16350,0,61,41.98,-79.34
16351,0,48,41.68,-79.4
16352,0,10,41.75,-79.05
16353,0,97,41.49,-79.44
16354,0,354,41.62,-79.67
16360,0,47,41.67,-79.88
16361,0,6,41.38,-79.35
16362,0,47,41.43,-79.95
16364,0,27,41.37,-79.5
