Zipcode,Dispensary Count,Patient Count,Latitude,Longitude,Nearest Disp Distance,Nearest Disp Zipcode,Patient Miles
17094,0,86,40.56,-77.23,24.40310737,17110,2098.667233
16354,0,354,41.62,-79.67,24.37484648,16335,8628.695654
17049,0,107,40.65,-77.28,24.35680627,17870,2606.178271
15845,0,169,41.49,-78.67,24.35422373,15801,4115.86381
15501,0,609,40,-79.07,24.29273945,15901,14794.27833
17056,0,2,40.53,-77.36,24.28480758,17013,48.56961516
16373,0,70,41.18,-79.7,24.21188088,16001,1694.831662
16054,0,29,41.16,-79.65,24.20621218,16001,701.9801531
17238,0,60,39.86,-78.15,24.17123262,16634,1450.273957
16232,0,194,41.23,-79.53,23.94836734,15825,4645.983265
16822,0,99,41.07,-77.58,23.93697858,16801,2369.76088
17035,0,18,40.42,-77.55,23.92048942,17013,430.5688095
17758,0,31,41.35,-76.6,23.86408144,17701,739.7865245
16825,0,5,40.99,-78.32,23.78390858,15801,118.9195429
16878,0,91,40.94,-78.36,23.75253641,15801,2161.480813
16326,0,17,41.38,-79.43,23.71839518,15825,403.212718
15821,0,13,41.35,-78.37,23.69804769,15801,308.07462
16259,0,72,40.94,-79.45,23.68971554,16001,1705.659519
16620,0,35,40.84,-78.35,23.60720576,16602,826.2522017
16323,0,776,41.39,-79.83,23.58435036,16335,18301.45588
18328,0,302,41.22,-74.87,23.52257079,18360,7103.816377
15753,0,12,40.81,-78.62,23.48721765,15801,281.8466118
16248,0,132,41.04,-79.5,23.43574123,15825,3093.517843
15341,0,30,39.84,-80.34,23.37798333,15301,701.3394999
16666,0,168,40.89,-78.33,23.37276935,16803,3926.62525
18464,0,37,41.4,-75.18,23.35595154,18519,864.170207
18816,0,9,41.74,-75.89,23.29218131,18508,209.6296318
15535,0,75,39.91,-78.37,23.25602924,16634,1744.202193
17765,0,24,41.55,-76.89,23.25101325,17701,558.0243179
16876,0,27,40.96,-78.29,23.21871983,16803,626.9054353
16407,0,335,41.92,-79.63,23.21673509,16509,7777.606255
15411,0,23,39.74,-79.33,23.18711227,15401,533.3035821
16748,0,39,41.96,-78.19,23.18096058,16701,904.0574627
15380,0,9,39.88,-80.46,23.1624809,15301,208.4623281
16826,0,37,41.06,-77.59,23.07165195,16801,853.6511223
18451,0,25,41.39,-75.19,23.00555767,18519,575.1389416
17745,0,1029,41.13,-77.45,22.95901083,17701,23624.82214
16845,0,29,41.12,-78.02,22.95657243,16803,665.7406006
15721,0,5,40.81,-78.78,22.9214294,15801,114.607147
15551,0,11,39.87,-79.29,22.89783175,15401,251.8761492
15349,0,45,39.75,-80.11,22.88616472,15401,1029.877412
18428,0,572,41.47,-75.18,22.83863745,18519,13063.70062
16881,0,97,41.03,-78.32,22.71284976,15801,2203.146427
16345,0,63,41.94,-79.08,22.71135807,16701,1430.815558
16848,0,12,41.01,-77.53,22.60923528,16801,271.3108233
17739,0,5,41.4,-77.4,22.54388819,17701,112.7194409
16930,0,31,41.55,-77.1,22.38095871,17701,693.8097199
